,start,end,path,graph,sign,time
0,ACE2,ACE2,"['ACE2', 'ACE2']",grn,act,3.1031079297616397
1,ACE2,CDC20,"['ACE2', 'SWI5', 'CDC20']",grn,act,16.456993476699967
2,ACE2,CDH1,"['ACE2', 'NRM1', 'CDH1']",grn,rep,10.413633639100663
3,ACE2,CLB1,"['ACE2', 'SWI5', 'CLB1']",grn,act,15.426362129447147
4,ACE2,CLB3,"['ACE2', 'NRM1', 'CLB3']",grn,act,15.054437362565686
5,ACE2,CLB3,"['ACE2', 'NRM1', 'HCM1', 'CLB3']",grn,act,21.751734448708234
6,ACE2,CLB4,"['ACE2', 'NRM1', 'HCM1', 'CLB4']",grn,act,22.403503216378752
7,ACE2,CLB5,"['ACE2', 'NRM1', 'HCM1', 'CLB5']",grn,rep,9.928962220266603
8,ACE2,CLB5,"['ACE2', 'SWI5', 'CLB5']",grn,rep,16.929570373828604
9,ACE2,CLB6,"['ACE2', 'CLB6']",grn,rep,17.359612368263523
10,ACE2,CLB6,"['ACE2', 'NRM1', 'CLB6']",grn,act,12.178105659187471
11,ACE2,CLN2,"['ACE2', 'NRM1', 'HCM1', 'CLN2']",grn,rep,9.833656292655462
12,ACE2,FKH1,"['ACE2', 'NRM1', 'HCM1', 'FKH1']",grn,act,24.196829827230566
13,ACE2,FKH1,"['ACE2', 'SWI5', 'FKH1']",grn,rep,5.825762721414608
14,ACE2,FKH2,"['ACE2', 'NRM1', 'HCM1', 'FKH2']",grn,act,24.133802504604873
15,ACE2,HCM1,"['ACE2', 'NRM1', 'HCM1']",grn,act,9.743996222421755
16,ACE2,NDD1,"['ACE2', 'NDD1']",grn,rep,18.08703346887457
17,ACE2,NDD1,"['ACE2', 'NRM1', 'NDD1']",grn,act,3.823776016298346
18,ACE2,NRM1,"['ACE2', 'NRM1']",grn,rep,0.04130119308286168
19,ACE2,PLM2,"['ACE2', 'PLM2']",grn,rep,0.0018587687283225323
20,ACE2,SWI4,"['ACE2', 'SWI4']",grn,rep,15.084576810693514
21,ACE2,SWI5,"['ACE2', 'SWI5']",grn,rep,0.20880314274449774
22,FKH1,CLB4,"['FKH1', 'MBP1', 'CLB4']",grn,act,8.519098839012319
23,FKH1,CLB6,"['FKH1', 'MBP1', 'CLB6']",grn,rep,7.795672633505959
24,FKH1,CLN1,"['FKH1', 'MBP1', 'CLN1']",grn,act,6.900783726708223
25,FKH1,CLN1,"['FKH1', 'MBP1', 'CLN1']",grn,rep,
26,FKH1,FKH1,"['FKH1', 'FKH1']",grn,act,0.8241447682452022
27,FKH1,MBP1,"['FKH1', 'MBP1']",grn,rep,0.633517073803923
28,FKH1,PLM2,"['FKH1', 'MBP1', 'PLM2']",grn,act,13.161979583435361
29,FKH1,PLM2,"['FKH1', 'MBP1', 'PLM2']",grn,rep,
30,FKH2,CLB1,"['FKH2', 'CLB1']",grn,rep,6.871868077128278e-09
31,HCM1,CDC20,"['HCM1', 'YHP1', 'CDC20']",grn,rep,18.323434525918522
32,HCM1,CDH1,"['HCM1', 'NRM1', 'CDH1']",grn,act,22.434998812508084
33,HCM1,CLB1,"['HCM1', 'FKH2', 'CLB1']",grn,rep,14.389806289054988
34,HCM1,CLB1,"['HCM1', 'HCM1', 'FKH2', 'CLB1']",grn,rep,16.80569532485033
35,HCM1,CLB1,"['HCM1', 'WHI5', 'CLB1']",grn,rep,20.28038881705772
36,HCM1,CLB1,"['HCM1', 'YHP1', 'CLB1']",grn,rep,27.926654914173355
37,HCM1,CLB2,"['HCM1', 'YHP1', 'YOX1', 'CLB2']",grn,act,23.670433583326822
38,HCM1,CLB3,"['HCM1', 'CLB3']",grn,act,12.007738226286481
39,HCM1,CLB3,"['HCM1', 'HCM1', 'CLB3']",grn,act,14.423627262081823
40,HCM1,CLB3,"['HCM1', 'NRM1', 'CLB3']",grn,rep,27.07580253597311
41,HCM1,CLB4,"['HCM1', 'CLB4']",grn,act,12.659506993956995
42,HCM1,CLB4,"['HCM1', 'HCM1', 'CLB4']",grn,act,15.075396029752337
43,HCM1,CLB4,"['HCM1', 'MBP1', 'CLB4']",grn,rep,22.82204172826415
44,HCM1,CLB5,"['HCM1', 'CLB5']",grn,rep,0.1849659978448492
45,HCM1,CLB5,"['HCM1', 'HCM1', 'CLB5']",grn,rep,2.6008550336401903
46,HCM1,CLB5,"['HCM1', 'SWI6', 'CLB5']",grn,act,27.834662239986606
47,HCM1,CLB6,"['HCM1', 'MBP1', 'CLB6']",grn,act,22.09861552275779
48,HCM1,CLB6,"['HCM1', 'NRM1', 'CLB6']",grn,rep,24.199470832594894
49,HCM1,CLB6,"['HCM1', 'SWI6', 'CLB6']",grn,act,26.69781816246098
50,HCM1,CLN1,"['HCM1', 'MBP1', 'CLN1']",grn,rep,21.203726615960054
51,HCM1,CLN1,"['HCM1', 'SWI6', 'CLN1']",grn,act,27.69357420780695
52,HCM1,CLN2,"['HCM1', 'CLN2']",grn,rep,0.08966007023370715
53,HCM1,CLN2,"['HCM1', 'HCM1', 'CLN2']",grn,rep,2.5055491060290485
54,HCM1,CLN2,"['HCM1', 'SWI6', 'CLN2']",grn,act,25.913899028954035
55,HCM1,FKH1,"['HCM1', 'FKH1']",grn,act,14.452833604808811
56,HCM1,FKH1,"['HCM1', 'HCM1', 'FKH1']",grn,act,16.86872264060415
57,HCM1,FKH2,"['HCM1', 'FKH2']",grn,act,14.38980628218312
58,HCM1,FKH2,"['HCM1', 'HCM1', 'FKH2']",grn,act,16.80569531797846
59,HCM1,HCM1,"['HCM1', 'HCM1']",grn,act,2.4158890357953413
60,HCM1,MBP1,"['HCM1', 'MBP1']",grn,act,14.936459963055755
61,HCM1,NDD1,"['HCM1', 'NDD1']",grn,act,13.097450628994125
62,HCM1,NRM1,"['HCM1', 'NRM1']",grn,act,12.062666366490285
63,HCM1,PLM2,"['HCM1', 'MBP1', 'PLM2']",grn,rep,27.464922472687192
64,HCM1,SWI4,"['HCM1', 'SWI4']",grn,rep,0.09341602665213301
65,HCM1,SWI6,"['HCM1', 'SWI6']",grn,act,14.586330903403509
66,HCM1,TOS4,"['HCM1', 'TOS4']",grn,rep,0.0903176599599403
67,HCM1,TOS4,"['HCM1', 'YHP1', 'YOX1', 'TOS4']",grn,act,38.797860391426745
68,HCM1,WHI5,"['HCM1', 'WHI5']",grn,act,13.018882731760266
69,HCM1,YHP1,"['HCM1', 'YHP1']",grn,act,13.687647248283271
70,HCM1,YOX1,"['HCM1', 'YHP1', 'YOX1']",grn,rep,23.642255608124604
71,MBP1,CLB4,"['MBP1', 'CLB4']",grn,rep,7.8855817652083955
